BE,BEL
,
FR,FRA
,
BR,BRA
,
EN,ENG
,
PT,POR
,
HR,CRO
,
ES,ESP
,
UY,URU
,
CH,SUI
,
DK,DEN
,
DE,GER
,
AR,ARG
,
CO,COL
,
IT,ITA
,
NL,NED
,
CL,CHI
,
SE,SWE
,
MX,MEX
,
PL,POL
,
IR,IRN
,
PE,PER
,
SN,SEN
,
WA,WAL
,
UA,UKR
,
TN,TUN
,
AT,AUT
,
RO,ROU
,
EI,NIR
,
JP,JPN
,
US,USA
,
SK,SVK
,
IE,IRL
,
VE,VEN
,
RS,SRB
,
IS,ISL
,
PY,PAR
,
KR,KOR
,
TR,TUR
,
CR,CRC
,
BA,BIH
,
CZ,CZE
,
HU,HUN
,
AU,AUS
,
RU,RUS
,
SQ,SCO
,
NG,NGA
,
MA,MAR
,
NO,NOR
,
CD,COD
,
GH,GHA
,
CM,CMR
,
GR,GRE
,
ME,MNE
,
JM,JAM
,
QA,QAT
,
FI,FIN
,
BG,BUL
,
EG,EGY
,
BF,BFA
,
EC,ECU
,
HN,HON
,
BO,BOL
,
ML,MLI
,
SI,SVN
,
AL,ALB
,
AE,UAE
,
DZ,ALG
,
SV,SLV
,
SA,KSA
,
GN,GUI
,
ZA,RSA
,
CN,CHN
,
NM,MKD
,
PA,PAN
,
CV,CPV
,
IQ,IRQ
,
CA,CAN
,
CW,CUW
,
UG,UGA
,
ZM,ZAM
,
IL,ISR
,
BY,BLR
,
UZ,UZB
,
SY,SYR
,
OM,OMA
,
LB,LBN
,
BJ,BEN
,
GA,GAB
,
CG,CGO
,
LU,LUX
,
TT,TRI
,
CY,CYP
,
GE,GEO
,
KG,KGZ
,
VN,VIE
,
AM,ARM
,
JO,JOR
,
EE,EST
,
PS,PLE
,
IN,IND
,
HT,HAI
,
MR,MTN
,
NE,NIG
,
KE,KEN
,
LY,LBY
,
FO,FRO
,
MG,MAD
,
ZW,ZIM
,
BH,BHR
,
AZ,AZE
,
CF,CTA
,
NA,NAM
,
KZ,KAZ
,
SL,SLE
,
TH,THA
,
MZ,MOZ
,
GW,GNB
,
NZ,NZL
,
TJ,TJK
,
KO,KVX
,
KP,PRK
,
AO,ANG
,
AG,ATG
,
TW,TPE
,
PH,PHI
,
MW,MWI
,
TG,TOG
,
NI,NCA
,
SD,SDN
,
TZ,TAN
,
LT,LTU
,
KN,SKN
,
BI,BDI
,
TM,TKM
,
RW,RWA
,
LV,LVA
,
MM,MYA
,
AD,AND
,
SB,SOL
,
GQ,EQG
,
HK,HKG
,
SW,SWZ
,
YE,YEM
,
LS,LES
,
GT,GUA
,
BW,BOT
,
KM,COM
,
AF,AFG
,
ET,ETH
,
MV,MDV
,
SR,SUR
,
LR,LBR
,
DO,DOM
,
NC,NCL
,
KW,KUW
,
MU,MRI
,
TI,TAH
,
MY,MAS
,
ID,IDN
,
GM,GAM
,
SG,SIN
,
VU,VAN
,
BB,BRB
,
NP,NEP
,
BZ,BLZ
,
FJ,FIJ
,
SS,SSD
,
KH,CAM
,
MD,MDA
,
PG,PNG
,
LC,LCA
,
GD,GRN
,
BM,BER
,
CU,CUB
,
TD,CHA
,
DM,DMA
,
GY,GUY
,
VC,VIN
,
PR,PUR
,
MT,MLT
,
MO,MAC
,
LI,LIE
,
BD,BAN
,
ST,STP
,
BT,BHU
,
MN,MNG
,
LA,LAO
,
AW,ARU
,
GU,GUM
,
CK,COK
,
AS,ASA
,
BN,BRU
,
SC,SEY
,
WS,SAM
,
DJ,DJI
,
MS,MSR
,
GI,GIB
,
VI,VIR
,
TL,TLS
,
LK,SRI
,
ER,ERI
,
TO,TGA
,
SO,SOM
,
PK,PAK
,
KY,CAY
,
VG,VGB
,
TC,TCA
,
AI,AIA
,
BS,BAH
,
SM,SMR
,
CI,CIV